address,agent_url,description,id,page_number,price,scrape_time,url,beds,latitude,longitude,tenure,travel_time_cw,travel_time_from_strand,travel_time_cp,bedroom_score,tenure_score,price_score,tt_score_cw,tt_score_from_strand,tt_score_cp,total_score
"Lanhill Road, Maida Vale",http://www.rightmove.co.uk/estate-agents/agent/Dexters/Maida-Vale-39741.html,2 bedroom flat for sale,72707737,9,660000.0,2019-07-13 07:49:58.252187,http://www.rightmove.co.uk/property-for-sale/property-72707737.html,2,51.526434,-0.195993,-,44.0,69.0,53.0,0,0,-1.0,0.5,-18.666666666666664,-4.0,-23.166666666666664
"Starboard Way,
Royal Wharf,
London,
E16",http://www.rightmove.co.uk/developer/branch/Site-Sales/Traders-Quarter-200357.html,3 bedroom apartment for sale,83243525,9,660000.0,2019-07-13 07:49:58.252187,http://www.rightmove.co.uk/property-for-sale/property-83243525.html,3,51.500892,0.030875,Leasehold,10.0,32.0,42.0,5,0,-1.0,10.0,10.0,0.75,24.75
"Royal Gate Apartments, 1 Rutland Road, London, E9",http://www.rightmove.co.uk/estate-agents/agent/Hamptons-International-Sales/Islington-37916.html,2 bedroom flat for sale,71701510,10,550000.0,2019-07-13 07:49:58.613448,http://www.rightmove.co.uk/property-for-sale/property-71701510.html,2,51.53751,-0.045349,Share of Freehold,15.0,34.0,47.0,0,3,2.5,10.0,10.0,-1.0,24.5
"Bergholt Mews, London, London, NW1 0BQ",http://www.rightmove.co.uk/estate-agents/agent/Hunters/Camden-97142.html,2 bedroom terraced house for sale,82982102,10,660000.0,2019-07-13 07:49:58.613448,http://www.rightmove.co.uk/property-for-sale/property-82982102.html,2,51.54014,-0.133937,-,36.0,59.0,55.0,0,0,-1.0,4.5,-5.333333333333333,-5.0,-6.833333333333333
"The Avenue, Highams Park, E4",http://www.rightmove.co.uk/estate-agents/agent/Charlesons/Gants-Hill-40074.html,3 bedroom semi-detached house for sale,71850922,10,659995.0,2019-07-13 07:49:58.613448,http://www.rightmove.co.uk/property-for-sale/property-71850922.html,3,51.609683000000004,0.0006309999999999999,Freehold,23.0,46.0,56.0,5,3,-0.9995,10.0,6.0,-5.5,17.5005
"Upper Richmond Road, London, SW15",http://www.rightmove.co.uk/estate-agents/agent/Chestertons-Estate-Agents/Putney-31635.html,2 bedroom flat for sale,78750458,10,659950.0,2019-07-13 07:49:58.613448,http://www.rightmove.co.uk/property-for-sale/property-78750458.html,2,51.45907800000001,-0.209069,Leasehold,51.0,70.0,34.0,0,0,-0.995,-6.0,-20.0,2.75,-24.245
"Regents Park Road,Finchley,N3",http://www.rightmove.co.uk/estate-agents/agent/Chancellors/Finchley-35948.html,2 bedroom flat for sale,63446832,10,659950.0,2019-07-13 07:49:58.613448,http://www.rightmove.co.uk/property-for-sale/property-63446832.html,2,51.597,-0.197,-,42.0,62.0,72.0,0,0,-0.995,1.5,-9.333333333333332,-13.5,-22.328333333333333
"Upper Richmond Road, Putney",http://www.rightmove.co.uk/estate-agents/agent/Dexters/Putney-84803.html,2 bedroom flat for sale,72124723,10,659950.0,2019-07-13 07:49:58.613448,http://www.rightmove.co.uk/property-for-sale/property-72124723.html,2,51.459118,-0.209116,-,50.0,70.0,34.0,0,0,-0.995,-5.0,-20.0,2.75,-23.245
"Darfield Road, Brockley, London, SE4 1ET",http://www.rightmove.co.uk/estate-agents/agent/Bryan-and-Keegan/London-102278.html,3 bedroom terraced house for sale,63595719,10,659000.0,2019-07-13 07:49:58.613448,http://www.rightmove.co.uk/property-for-sale/property-63595719.html,3,51.455434999999994,-0.035197000000000006,Freehold,27.0,36.0,17.0,5,3,-0.9,9.0,10.0,5.0,31.1
"Yeoman Street,
London,
SE8 5DT",http://www.rightmove.co.uk/developer/branch/Fairview-Homes/Hydro-193100.html,3 bedroom apartment for sale,83222993,10,657000.0,2019-07-13 07:49:58.613448,http://www.rightmove.co.uk/property-for-sale/property-83222993.html,3,51.492022999999996,-0.039819,Leasehold,16.0,35.0,29.0,5,0,-0.7,10.0,10.0,4.0,28.3
"Bedford House, 215 Balham High Road, London, SW17",http://www.rightmove.co.uk/estate-agents/agent/Savills-New-Homes/South-West-London-107003.html,2 bedroom apartment for sale,63479544,10,655000.0,2019-07-13 07:49:58.613448,http://www.rightmove.co.uk/property-for-sale/property-63479544.html,2,51.439776,-0.155082,Leasehold,46.0,59.0,21.0,0,0,-0.5,-1.0,-5.333333333333333,5.0,-1.833333333333333
"Roach Road, 
London,
E3",http://www.rightmove.co.uk/developer/branch/Hill-Residential-Limited/Fish-Island-Village-176129.html,2 bedroom property for sale,83195477,10,652500.0,2019-07-13 07:49:58.613448,http://www.rightmove.co.uk/property-for-sale/property-83195477.html,2,51.540316,-0.0239,-,14.0,32.0,43.0,0,0,-0.25,10.0,10.0,0.5,20.25
"Leighton Road, London, NW5",http://www.rightmove.co.uk/estate-agents/agent/Winkworth/Kentish-Town-38250.html,2 bedroom apartment for sale,83105603,10,650000.0,2019-07-13 07:49:58.613448,http://www.rightmove.co.uk/property-for-sale/property-83105603.html,2,51.550740999999995,-0.13738699999999998,Leasehold,38.0,58.0,59.0,0,0,0.0,3.5,-4.0,-7.0,-7.5
"Weltje Road, Hammersmith",http://www.rightmove.co.uk/estate-agents/agent/Kinleigh-Folkard-and-Hayward---Sales/Hammersmith-55471.html,2 bedroom flat for sale,72671611,10,650000.0,2019-07-13 07:49:58.613448,http://www.rightmove.co.uk/property-for-sale/property-72671611.html,2,51.490846999999995,-0.23764899999999997,Share of Freehold,50.0,75.0,49.0,0,3,0.0,-5.0,-26.666666666666664,-2.0,-30.666666666666664
"Tithe Walk, Mill Hill, London, NW7",http://www.rightmove.co.uk/estate-agents/agent/Ellis-and-Co/Mill-Hill-7313.html,3 bedroom semi-detached house for sale,83095268,10,650000.0,2019-07-13 07:49:58.613448,http://www.rightmove.co.uk/property-for-sale/property-83095268.html,3,51.60455,-0.236801,Freehold,46.0,66.0,71.0,5,3,0.0,-1.0,-14.666666666666666,-13.0,-20.666666666666664
"River Gardens Walk, London, SE10",http://www.rightmove.co.uk/estate-agents/agent/JLL/Greenwich-5657.html,2 bedroom apartment for sale,72654412,10,650000.0,2019-07-13 07:49:58.613448,http://www.rightmove.co.uk/property-for-sale/property-72654412.html,2,51.488382,0.003064,Leasehold,18.0,24.0,34.0,0,0,0.0,10.0,10.0,2.75,22.75
"Wellesley Mansions, Fulham, London, W14",http://www.rightmove.co.uk/estate-agents/agent/John-D-Wood-Sales/Fulham-Broadway-841.html,2 bedroom flat for sale,61631211,10,650000.0,2019-07-13 07:49:58.613448,http://www.rightmove.co.uk/property-for-sale/property-61631211.html,2,51.491586,-0.20692199999999997,Share of Freehold,43.0,74.0,42.0,0,3,0.0,1.0,-25.333333333333332,0.75,-20.583333333333332
"Waldegrave Road, London, N8",http://www.rightmove.co.uk/estate-agents/agent/Property-Inc/Harringay-191252.html,3 bedroom terraced house for sale,83114219,10,650000.0,2019-07-13 07:49:58.613448,http://www.rightmove.co.uk/property-for-sale/property-83114219.html,3,51.59073,-0.105053,Freehold,38.0,57.0,68.0,5,3,0.0,3.5,-2.6666666666666665,-11.5,-2.666666666666666
TWO DOUBLE BEDROOM APOSTLE HOUSE WITH WEST FACING GARDEN - Edna Road,http://www.rightmove.co.uk/estate-agents/agent/Ellisons/Raynes-Park-26249.html,2 bedroom house for sale,63476478,10,650000.0,2019-07-13 07:49:58.613448,http://www.rightmove.co.uk/property-for-sale/property-63476478.html,2,51.408611,-0.22352199999999997,-,65.0,80.0,37.0,0,0,0.0,-20.0,-33.33333333333333,2.0,-51.33333333333333
"Tamworth Street, London",http://www.rightmove.co.uk/estate-agents/agent/Barnard-Marcus/Earls-Court-1895.html,2 bedroom ground floor flat for sale,83233025,10,650000.0,2019-07-13 07:49:58.613448,http://www.rightmove.co.uk/property-for-sale/property-83233025.html,2,51.4845,-0.19814,Leasehold,46.0,71.0,39.0,0,0,0.0,-1.0,-21.333333333333332,1.5,-20.833333333333332
"Kings Avenue, Clapham",http://www.rightmove.co.uk/estate-agents/agent/Dexters/Clapham-78413.html,2 bedroom flat for sale,72875155,10,650000.0,2019-07-13 07:49:58.613448,http://www.rightmove.co.uk/property-for-sale/property-72875155.html,2,51.453267,-0.13037,-,39.0,55.0,19.0,0,0,0.0,3.0,0.0,5.0,8.0
"Dalston Sq, Hackney, E8",http://www.rightmove.co.uk/estate-agents/agent/Currell/Hackney---Sales-12602.html,2 bedroom apartment for sale,83106290,10,650000.0,2019-07-13 07:49:58.613448,http://www.rightmove.co.uk/property-for-sale/property-83106290.html,2,51.545709,-0.07436799999999999,Leasehold,24.0,42.0,53.0,0,0,0.0,10.0,8.666666666666666,-4.0,14.666666666666664
"Lillington Gardens, London, SW1V",http://www.rightmove.co.uk/estate-agents/agent/Dauntons/London-95275.html,3 bedroom property for sale,63590166,10,650000.0,2019-07-13 07:49:58.613448,http://www.rightmove.co.uk/property-for-sale/property-63590166.html,3,51.48981,-0.133374,-,33.0,56.0,32.0,5,0,0.0,6.0,-1.3333333333333333,3.25,12.916666666666666
"Devonport Road, Shepherd's Bush W12",http://www.rightmove.co.uk/estate-agents/agent/Kerr-and-Co/London-47967.html,2 bedroom flat for sale,83068763,10,650000.0,2019-07-13 07:49:58.613448,http://www.rightmove.co.uk/property-for-sale/property-83068763.html,2,51.502559999999995,-0.23065100000000002,Share of Freehold,50.0,80.0,50.0,0,3,0.0,-5.0,-33.33333333333333,-2.5,-37.83333333333333
"Archbishops Place, Brixton Hill, London, SW2",http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Brixton-56751.html,3 bedroom semi-detached house for sale,77523617,11,680000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-77523617.html,3,51.449238,-0.11903299999999999,Freehold,43.0,53.0,17.0,5,3,-3.0,1.0,1.333333333333334,5.0,12.333333333333334
"Khama Road, Tooting Broadway, London, SW17",http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Tooting-111050.html,3 bedroom terraced house for sale,83258750,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-83258750.html,3,51.429817,-0.172535,Freehold,52.0,66.0,25.0,5,3,0.0,-7.0,-14.666666666666666,5.0,-8.666666666666666
"Roland Road, Walthamstow, London, E17",http://www.rightmove.co.uk/estate-agents/agent/Estates17/Walthamstow-94276.html,3 bedroom terraced house for sale,77232986,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-77232986.html,3,51.583346999999996,-0.001132,-,23.0,39.0,52.0,5,0,0.0,10.0,10.0,-3.5,21.5
"College Road, Dulwich Village",http://www.rightmove.co.uk/estate-agents/agent/Kinleigh-Folkard-and-Hayward---Sales/Dulwich-Village-55435.html,3 bedroom flat for sale,72882253,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-72882253.html,3,51.434697,-0.080688,Leasehold,40.0,48.0,8.0,5,0,0.0,2.5,4.666666666666667,5.0,17.166666666666668
"Barrington Road, Crouch End, London, N8",http://www.rightmove.co.uk/estate-agents/agent/Martyn-Gerrard/Crouch-End-13099.html,2 bedroom apartment for sale,83040137,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-83040137.html,2,51.584521,-0.127919,Leasehold,43.0,62.0,73.0,0,0,0.0,1.0,-9.333333333333332,-14.0,-22.333333333333332
"Wandle Bank, Colliers Wood SW19",http://www.rightmove.co.uk/estate-agents/agent/ludlowthompson/Tooting---Sales-77486.html,3 bedroom semi-detached house for sale,63410322,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-63410322.html,3,51.417687,-0.181355,-,58.0,73.0,31.0,5,0,0.0,-13.0,-24.0,3.5,-28.5
"Graham Road, London, E8",http://www.rightmove.co.uk/estate-agents/agent/Keatons/Hackney-22268.html,3 bedroom terraced house for sale,81301799,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-81301799.html,3,51.545888,-0.06741699999999999,Leasehold,22.0,39.0,51.0,5,0,0.0,10.0,10.0,-3.0,22.0
"Franciscan Road, Tooting",http://www.rightmove.co.uk/estate-agents/agent/Jacksons-Estate-Agents/Tooting-72056.html,2 bedroom flat for sale,83283539,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-83283539.html,2,51.431064,-0.153915,-,50.0,60.0,19.0,0,0,0.0,-5.0,-6.666666666666666,5.0,-6.666666666666666
"Hawes Lane, West Wickham",http://www.rightmove.co.uk/estate-agents/agent/Alan-de-Maid/West-Wickham-5076.html,3 bedroom semi-detached house for sale,72640864,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-72640864.html,3,51.379756,-0.012695,-,41.0,43.0,15.0,5,0,0.0,2.0,8.0,5.0,20.0
"Crystal Palace Road, East Dulwich, SE22",http://www.rightmove.co.uk/estate-agents/agent/Mundays/London-143609.html,2 bedroom flat for sale,83244155,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-83244155.html,2,51.459637,-0.07158099999999999,Leasehold,30.0,43.0,16.0,0,0,0.0,7.5,8.0,5.0,20.5
"Belmont Lane, Chislehurst",http://www.rightmove.co.uk/estate-agents/agent/Kinleigh-Folkard-and-Hayward---Sales/Chislehurst-55414.html,3 bedroom semi-detached house for sale,63441789,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-63441789.html,3,51.423653,0.071464,Freehold,28.0,30.0,31.0,5,3,0.0,8.5,10.0,3.5,30.0
"2 Park House, Bassano Street, East Dulwich, SE22",http://www.rightmove.co.uk/estate-agents/agent/Truepennys-Property-Consultants/Dulwich-49874.html,2 bedroom flat for sale,72784231,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-72784231.html,2,51.456487,-0.076895,Share of Freehold,32.0,46.0,16.0,0,3,0.0,6.5,6.0,5.0,20.5
"London Terrace, Hackney",http://www.rightmove.co.uk/estate-agents/agent/Dexters/Hackney-113191.html,2 bedroom flat for sale,81331247,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-81331247.html,2,51.530906,-0.068609,-,18.0,39.0,50.0,0,0,0.0,10.0,10.0,-2.5,17.5
"Randall Place, London, SE10",http://www.rightmove.co.uk/estate-agents/agent/Winkworth/Greenwich-99271.html,2 bedroom terraced house for sale,76603610,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-76603610.html,2,51.479603000000004,-0.012693000000000001,Freehold,21.0,26.0,29.0,0,3,0.0,10.0,10.0,4.0,27.0
"Bovingdon Road, Parsons Green, SW6",http://www.rightmove.co.uk/estate-agents/agent/Portico/Fulham-6817.html,2 bedroom flat for sale,82405721,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-82405721.html,2,51.474663,-0.19061,Freehold,44.0,70.0,32.0,0,3,0.0,0.5,-20.0,3.25,-13.25
"Queen Elizabeth Olympic Park, 
10 Olympic Park Avenue,
Stratford London,
E20 1FT",http://www.rightmove.co.uk/developer/branch/Taylor-Wimpey/Chobham-Manor-113635.html,3 bedroom maisonette for sale,72741088,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-72741088.html,3,51.546884999999996,-0.013519,-,18.0,35.0,47.0,5,0,0.0,10.0,10.0,-1.0,24.0
"Vera Road, Fulham, SW6",http://www.rightmove.co.uk/estate-agents/agent/Chestertons-Estate-Agents/Fulham-Road-31572.html,2 bedroom flat for sale,72656140,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-72656140.html,2,51.476556,-0.21076199999999998,Leasehold,51.0,74.0,38.0,0,0,0.0,-6.0,-25.333333333333332,1.75,-29.583333333333332
"Waldron Road, Earlsfield",http://www.rightmove.co.uk/estate-agents/agent/Jacksons-Estate-Agents/Earlsfield-65794.html,2 bedroom flat for sale,63477612,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-63477612.html,2,51.437803,-0.183437,-,50.0,66.0,26.0,0,0,0.0,-5.0,-14.666666666666666,4.75,-14.916666666666664
"Inglis Way, Mill Hill, NW7",http://www.rightmove.co.uk/estate-agents/agent/Cosway-Estates/Mill-Hill-9970.html,3 bedroom semi-detached house for sale,71189863,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-71189863.html,3,51.610735,-0.206725,-,46.0,65.0,75.0,5,0,0.0,-1.0,-13.333333333333332,-15.0,-24.333333333333332
"Rainham Road, London, NW10 ",http://www.rightmove.co.uk/estate-agents/agent/Camerons-Stiff-and-Co/Willesden-Green-London-Sales-13658.html,2 bedroom flat for sale,72890854,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-72890854.html,2,51.529889000000004,-0.220887,-,49.0,73.0,58.0,0,0,0.0,-4.0,-24.0,-6.5,-34.5
"Oldfield Road, London",http://www.rightmove.co.uk/estate-agents/agent/Hoopers/Neasden-10007.html,3 bedroom terraced house for sale,63440028,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-63440028.html,3,51.545703,-0.248823,Freehold,53.0,69.0,60.0,5,3,0.0,-8.0,-18.666666666666664,-7.5,-26.166666666666664
"Park Avenue, West Wickham",http://www.rightmove.co.uk/estate-agents/agent/Alan-de-Maid/West-Wickham-5076.html,3 bedroom house for sale,72562816,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-72562816.html,3,51.374174,-0.015804,Freehold,45.0,46.0,16.0,5,3,0.0,0.0,6.0,5.0,19.0
"Bassano Street, Park House, East Dulwich, London, SE22",http://www.rightmove.co.uk/estate-agents/agent/Truepennys-Property-Consultants/London-93562.html,2 bedroom flat for sale,72783724,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-72783724.html,2,51.456487,-0.076895,Share of Freehold,32.0,46.0,16.0,0,3,0.0,6.5,6.0,5.0,20.5
"Goldington Street, St Pancras, NW1",http://www.rightmove.co.uk/estate-agents/agent/Victorstone-Property-Consultants/NW1-75061.html,3 bedroom flat for sale,63015150,11,650000.0,2019-07-13 07:49:58.989708,http://www.rightmove.co.uk/property-for-sale/property-63015150.html,3,51.534343,-0.13129100000000002,Leasehold,34.0,60.0,52.0,5,0,0.0,5.5,-6.666666666666666,-3.5,0.3333333333333339
"Lightfoot Road, Crouch End N8",http://www.rightmove.co.uk/estate-agents/agent/David-Astburys-Ltd/London-176261.html,2 bedroom terraced house for sale,72804433,12,575000.0,2019-07-13 07:49:59.356518,http://www.rightmove.co.uk/property-for-sale/property-72804433.html,2,51.584959999999995,-0.119399,Freehold,44.0,59.0,71.0,0,3,1.875,0.5,-5.333333333333333,-13.0,-12.958333333333332
"Sarsfeld Road, Balham",http://www.rightmove.co.uk/estate-agents/agent/Jacksons-Estate-Agents/Balham-65785.html,3 bedroom flat for sale,83101061,12,650000.0,2019-07-13 07:49:59.356518,http://www.rightmove.co.uk/property-for-sale/property-83101061.html,3,51.442085,-0.160478,-,46.0,60.0,22.0,5,0,0.0,-1.0,-6.666666666666666,5.0,2.333333333333334
"Spencer Road, Acton",http://www.rightmove.co.uk/estate-agents/agent/Robertson-Smith-and-Kempson/Acton-6954.html,3 bedroom flat for sale,82443521,12,650000.0,2019-07-13 07:49:59.356518,http://www.rightmove.co.uk/property-for-sale/property-82443521.html,3,51.509811,-0.2681,-,52.0,79.0,56.0,5,0,0.0,-7.0,-32.0,-5.5,-39.5
"Ravenscroft Road, Beckenham, BR3",http://www.rightmove.co.uk/estate-agents/agent/Winkworth/Beckenham-44703.html,3 bedroom semi-detached house for sale,82838114,12,650000.0,2019-07-13 07:49:59.356518,http://www.rightmove.co.uk/property-for-sale/property-82838114.html,3,51.409528,-0.048669,-,41.0,46.0,7.0,5,0,0.0,2.0,6.0,5.0,18.0
"Montego Court, 48 Myrdle Street, London, E1",http://www.rightmove.co.uk/estate-agents/agent/Stirling-Ackroyd/Shoreditch-33548.html,2 bedroom flat for sale,72675853,12,650000.0,2019-07-13 07:49:59.356518,http://www.rightmove.co.uk/property-for-sale/property-72675853.html,2,51.515421999999994,-0.06334400000000001,Leasehold,11.0,38.0,41.0,0,0,0.0,10.0,10.0,1.0,21.0
"Chiswick High Road, Chiswick, London, W4",http://www.rightmove.co.uk/estate-agents/agent/Savills/Chiswick-48913.html,2 bedroom apartment for sale,72666496,12,650000.0,2019-07-13 07:49:59.356518,http://www.rightmove.co.uk/property-for-sale/property-72666496.html,2,51.492521,-0.271989,Share of Freehold,52.0,81.0,51.0,0,3,0.0,-7.0,-34.666666666666664,-3.0,-41.666666666666664
"Willows Court, 7 Sir Cyril Black Way, Wimbledon",http://www.rightmove.co.uk/estate-agents/agent/Brinkleys-Estate-Agents/Wimbledon-Park-and-Southfields-19716.html,2 bedroom terraced house for sale,62788824,12,650000.0,2019-07-13 07:49:59.356518,http://www.rightmove.co.uk/property-for-sale/property-62788824.html,2,51.418479999999995,-0.20361600000000002,Leasehold,60.0,74.0,33.0,0,0,0.0,-15.0,-25.333333333333332,3.0,-37.33333333333333
"Inks Green, Highams Park",http://www.rightmove.co.uk/estate-agents/agent/haart/Walthamstow-11600.html,3 bedroom semi-detached house for sale,83233346,12,650000.0,2019-07-13 07:49:59.356518,http://www.rightmove.co.uk/property-for-sale/property-83233346.html,3,51.61205,-0.006343,Freehold,25.0,48.0,58.0,5,3,0.0,10.0,4.666666666666667,-6.5,16.166666666666668
"Castleton Avenue, Wembley",http://www.rightmove.co.uk/estate-agents/agent/haart/Wembley-11607.html,3 bedroom semi-detached house for sale,71342236,12,650000.0,2019-07-13 07:49:59.356518,http://www.rightmove.co.uk/property-for-sale/property-71342236.html,3,51.558383,-0.29880300000000004,Freehold,57.0,75.0,68.0,5,3,0.0,-12.0,-26.666666666666664,-11.5,-42.166666666666664
"Dryden Road, Wimbledon, SW19",http://www.rightmove.co.uk/estate-agents/agent/Lauristons/Wimbledon-Hill-39896.html,3 bedroom house for sale,71950981,12,650000.0,2019-07-13 07:49:59.356518,http://www.rightmove.co.uk/property-for-sale/property-71950981.html,3,51.423018,-0.186604,Freehold,55.0,71.0,30.0,5,3,0.0,-10.0,-21.333333333333332,3.75,-19.583333333333332
"Bradley Road, Upper Norwood, London, SE19",http://www.rightmove.co.uk/estate-agents/agent/Pedder/Crystal-Palace-17108.html,3 bedroom house for sale,63559242,12,650000.0,2019-07-13 07:49:59.356518,http://www.rightmove.co.uk/property-for-sale/property-63559242.html,3,51.42109,-0.101495,-,46.0,51.0,7.0,5,0,0.0,-1.0,2.666666666666667,5.0,11.666666666666668
"Ross Court, Putney, SW15",http://www.rightmove.co.uk/estate-agents/agent/Lauristons/Putney-39914.html,3 bedroom apartment for sale,70263619,12,650000.0,2019-07-13 07:49:59.356518,http://www.rightmove.co.uk/property-for-sale/property-70263619.html,3,51.450195,-0.220207,Leasehold,55.0,74.0,39.0,5,0,0.0,-10.0,-25.333333333333332,1.5,-28.833333333333332
"Pipit Drive, Putney, London, SW15",http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Putney-15963.html,2 bedroom flat for sale,72772129,12,650000.0,2019-07-13 07:49:59.356518,http://www.rightmove.co.uk/property-for-sale/property-72772129.html,2,51.454257,-0.22404699999999997,Leasehold,56.0,75.0,40.0,0,0,0.0,-11.0,-26.666666666666664,1.25,-36.416666666666664
Cleanthus Road London SE18,http://www.rightmove.co.uk/estate-agents/agent/John-Payne/Blackheath-Standard-102821.html,3 bedroom detached house for sale,78773759,12,650000.0,2019-07-13 07:49:59.356518,http://www.rightmove.co.uk/property-for-sale/property-78773759.html,3,51.471869,0.070624,Freehold,22.0,17.0,35.0,5,3,0.0,10.0,10.0,2.5,30.5
"Charlton Road, London",http://www.rightmove.co.uk/estate-agents/agent/Hart-and-Co/Harlesden-174722.html,3 bedroom terraced house for sale,72700585,12,650000.0,2019-07-13 07:49:59.356518,http://www.rightmove.co.uk/property-for-sale/property-72700585.html,3,51.539002,-0.249414,Freehold,55.0,72.0,56.0,5,3,0.0,-10.0,-22.666666666666664,-5.5,-30.166666666666664
"Lysias Road, Clapham, London SW12",http://www.rightmove.co.uk/estate-agents/agent/Keating-Estates/Clapham-6280.html,2 bedroom flat for sale,83079374,12,650000.0,2019-07-13 07:49:59.356518,http://www.rightmove.co.uk/property-for-sale/property-83079374.html,2,51.450846999999996,-0.152095,-,42.0,58.0,22.0,0,0,0.0,1.5,-4.0,5.0,2.5
"Tooting High Street, London, SW17",http://www.rightmove.co.uk/estate-agents/agent/Housesimplecom/Nationwide-29376.html,2 bedroom penthouse for sale,83074832,12,650000.0,2019-07-13 07:49:59.356518,http://www.rightmove.co.uk/property-for-sale/property-83074832.html,2,51.424503,-0.171132,Leasehold,52.0,66.0,23.0,0,0,0.0,-7.0,-14.666666666666666,5.0,-16.666666666666664
"Normington Close, Leigham Court Road, London, SW16",http://www.rightmove.co.uk/estate-agents/agent/Marsh-and-Parsons/Streatham-Hill-207812.html,3 bedroom terraced house for sale,83217188,13,650000.0,2019-07-13 07:49:59.696805,http://www.rightmove.co.uk/property-for-sale/property-83217188.html,3,51.4268,-0.115425,Freehold,45.0,54.0,11.0,5,3,0.0,0.0,0.6666666666666679,5.0,13.666666666666668
"Stephendale Road, Fulham, London, SW6 ",http://www.rightmove.co.uk/estate-agents/agent/Aspire/Fulham-South-50242.html,2 bedroom flat for sale,83243612,13,650000.0,2019-07-13 07:49:59.696805,http://www.rightmove.co.uk/property-for-sale/property-83243612.html,2,51.471491,-0.187204,-,48.0,69.0,32.0,0,0,0.0,-3.0,-18.666666666666664,3.25,-18.416666666666664
"Drayton Gardens, London, SW10",http://www.rightmove.co.uk/estate-agents/agent/Winkworth/South-Kensington---Sales-76574.html,2 bedroom apartment for sale,72624412,13,650000.0,2019-07-13 07:49:59.696805,http://www.rightmove.co.uk/property-for-sale/property-72624412.html,2,51.488267,-0.180565,Share of Freehold,42.0,65.0,34.0,0,3,0.0,1.5,-13.333333333333332,2.75,-6.083333333333332
"Flat 4,, 26 John Campbell Road, Dalston, London, N16",http://www.rightmove.co.uk/estate-agents/agent/Stirling-Ackroyd/New-Homes-192272.html,2 bedroom terraced house for sale,72841576,13,650000.0,2019-07-13 07:49:59.696805,http://www.rightmove.co.uk/property-for-sale/property-72841576.html,2,51.549702,-0.076668,Leasehold,26.0,44.0,55.0,0,0,0.0,9.5,7.333333333333334,-5.0,11.833333333333336
"Midholm, Hampstead Garden Suburb",http://www.rightmove.co.uk/estate-agents/agent/Godfrey-And-Barr/Hampstead-Garden-Suburb-56618.html,2 bedroom semi-detached house for sale,71211883,13,650000.0,2019-07-13 07:49:59.696805,http://www.rightmove.co.uk/property-for-sale/property-71211883.html,2,51.587368,-0.186569,Freehold,43.0,60.0,70.0,0,3,0.0,1.0,-6.666666666666666,-12.5,-15.166666666666666
"Roach Road, 
London,
E3",http://www.rightmove.co.uk/developer/branch/Hill-Residential-Limited/Fish-Island-Village-176129.html,2 bedroom property for sale,83158259,13,650000.0,2019-07-13 07:49:59.696805,http://www.rightmove.co.uk/property-for-sale/property-83158259.html,2,51.540316,-0.0239,-,14.0,32.0,43.0,0,0,0.0,10.0,10.0,0.5,20.5
