address,agent_url,description,id,page_number,price,scrape_time,url,beds,latitude,longitude,tenure,travel_time_cw,travel_time_from_strand,travel_time_cp,bedroom_score,tenure_score,price_score,tt_score_cw,tt_score_from_strand,tt_score_cp,total_score
"Inderwick Road, Crouch End, London, N8",http://www.rightmove.co.uk/estate-agents/agent/Martyn-Gerrard/Crouch-End-13099.html,2 bedroom apartment for sale,83014343,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-83014343.html,2,51.581434,-0.116123,Share of Freehold,41.0,57.0,70.0,0,3,-5.0,2.0,-2.6666666666666665,-12.5,-15.166666666666666
"Chiswick High Road, London",http://www.rightmove.co.uk/estate-agents/agent/Barnard-Marcus/Bedford-Park-1883.html,2 bedroom flat for sale,72667819,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-72667819.html,2,51.49358,-0.24699000000000002,Leasehold,49.0,80.0,48.0,0,0,-5.0,-4.0,-33.33333333333333,-1.5,-43.83333333333333
"York Road, London, N11",http://www.rightmove.co.uk/estate-agents/agent/Ellis-and-Co/Bounds-Green-22943.html,3 bedroom end of terrace house for sale,72718801,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-72718801.html,3,51.610448999999996,-0.12356199999999999,Freehold,32.0,52.0,64.0,5,3,-5.0,6.5,2.0,-9.5,2.0
"St Johns Court, South Hampstead, London",http://www.rightmove.co.uk/estate-agents/agent/Parkheath/West-Hampstead-72716.html,2 bedroom flat for sale,70697743,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-70697743.html,2,51.546165,-0.179698,-,44.0,70.0,58.0,0,0,-5.0,0.5,-20.0,-6.5,-31.0
"Heralds Place, London, SE11",http://www.rightmove.co.uk/estate-agents/agent/Purplebricks/covering-London-151079.html,2 bedroom mews house for sale,63358140,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-63358140.html,2,51.492504,-0.10666300000000001,Freehold,26.0,49.0,30.0,0,3,-5.0,9.5,4.0,3.75,15.25
"Baldry Gardens, London",http://www.rightmove.co.uk/estate-agents/agent/James-Alexander-Estate-Agents/Norbury-3327.html,3 bedroom semi-detached house for sale,72881428,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-72881428.html,3,51.420840999999996,-0.11994500000000001,-,48.0,56.0,10.0,5,0,-5.0,-3.0,-1.3333333333333333,5.0,0.666666666666667
"Forest Side, London",http://www.rightmove.co.uk/estate-agents/agent/Douglas-Allen/Chingford-2169.html,2 bedroom detached bungalow for sale,72439015,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-72439015.html,2,51.62994000000001,0.01675,Freehold,28.0,48.0,60.0,0,3,-5.0,8.5,4.666666666666667,-7.5,3.666666666666668
"Sitka House, 20 Quebec Way, London",http://www.rightmove.co.uk/estate-agents/agent/Hastings-International/Rotherhithe-11351.html,2 bedroom apartment for sale,63642060,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-63642060.html,2,51.498416,-0.040742,Leasehold,17.0,37.0,31.0,0,0,-5.0,10.0,10.0,3.5,18.5
"Northfield Avenue, Ealing, W5",http://www.rightmove.co.uk/estate-agents/agent/Purplebricks/covering-London-151079.html,3 bedroom terraced house for sale,58023672,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-58023672.html,3,51.498164,-0.313307,Freehold,57.0,85.0,56.0,5,3,-5.0,-12.0,-40.0,-5.5,-54.5
"Kew Bridge Road, Brentford",http://www.rightmove.co.uk/estate-agents/agent/Kinleigh-Folkard-and-Hayward---Sales/Chiswick-55420.html,2 bedroom flat for sale,63454707,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-63454707.html,2,51.488448,-0.28815599999999997,Leasehold,53.0,81.0,53.0,0,0,-5.0,-8.0,-34.666666666666664,-4.0,-51.666666666666664
"25 Downham Road, Islington, London, N1",http://www.rightmove.co.uk/estate-agents/agent/Winkworth/Islington-34986.html,2 bedroom apartment for sale,63421290,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-63421290.html,2,51.538826,-0.07735299999999999,Leasehold,23.0,43.0,52.0,0,0,-5.0,10.0,8.0,-3.5,9.5
"Biring House, Duke of Wellington Avenue, London, SE18",http://www.rightmove.co.uk/estate-agents/agent/Knight-Frank/Woolwich-192398.html,3 bedroom flat for sale,83272331,2,700000.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-83272331.html,3,51.494434999999996,0.067482,Leasehold,22.0,12.0,39.0,5,0,-5.0,10.0,10.0,1.5,21.5
"Eton College Road, Belsize Park",http://www.rightmove.co.uk/estate-agents/agent/Kinleigh-Folkard-and-Hayward---Sales/Belsize-Park-55399.html,2 bedroom flat for sale,72600751,2,700000.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-72600751.html,2,51.544427,-0.154818,Leasehold,42.0,65.0,59.0,0,0,-5.0,1.5,-13.333333333333332,-7.0,-23.833333333333332
"St. Stephen's Road, London, W13",http://www.rightmove.co.uk/estate-agents/agent/Winkworth/Ealing-and-Acton-94448.html,3 bedroom terraced house for sale,81142670,2,700000.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-81142670.html,3,51.519094,-0.312067,-,59.0,76.0,60.0,5,0,-5.0,-14.0,-28.0,-7.5,-49.5
"Jubilee Terrace, Burlington Road, London, SW6",http://www.rightmove.co.uk/estate-agents/agent/Chestertons-Estate-Agents/Fulham-Parsons-Green-48856.html,2 bedroom flat for sale,82231403,2,700000.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-82231403.html,2,51.470525,-0.21002800000000002,Share of Freehold,47.0,73.0,36.0,0,3,-5.0,-2.0,-24.0,2.25,-25.75
"Ericcson Close, London, SW18",http://www.rightmove.co.uk/estate-agents/agent/Townends/Putney-5873.html,3 bedroom terraced house for sale,83146019,2,700000.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-83146019.html,3,51.458883,-0.199439,Freehold,49.0,69.0,33.0,5,3,-5.0,-4.0,-18.666666666666664,3.0,-16.666666666666664
"Long Lane, East Finchley, N2",http://www.rightmove.co.uk/estate-agents/agent/Jeremy-Leaf-and-Co/East-Finchley-16280.html,3 bedroom end of terrace house for sale,68312416,2,700000.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-68312416.html,3,51.594688,-0.175879,Freehold,41.0,59.0,73.0,5,3,-5.0,2.0,-5.333333333333333,-14.0,-14.333333333333332
"Park Grove Road, Leytonstone, London",http://www.rightmove.co.uk/estate-agents/agent/Outlook/Leyton-56158.html,3 bedroom terraced house for sale,72640459,2,700000.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-72640459.html,3,51.56208400000001,0.005803,-,23.0,39.0,52.0,5,0,-5.0,10.0,10.0,-3.5,16.5
"Delaware Road, Maida Vale",http://www.rightmove.co.uk/estate-agents/agent/Dexters/Maida-Vale-39741.html,2 bedroom flat for sale,71458540,2,699999.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-71458540.html,2,51.526332000000004,-0.190494,-,44.0,67.0,53.0,0,0,-4.9999,0.5,-16.0,-4.0,-24.4999
"Wentworth House, Repton Park Woodford Green IG8",http://www.rightmove.co.uk/estate-agents/agent/Hunt-Property-Services-Ltd/Woodford-Green-86834.html,2 bedroom apartment for sale,72807622,2,699999.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-72807622.html,2,51.603297999999995,0.067662,-,31.0,48.0,59.0,0,0,-4.9999,7.0,4.666666666666667,-7.0,-0.33323333333333327
"Parkfield Road, London, NW10",http://www.rightmove.co.uk/estate-agents/agent/Winkworth/Kensal-Rise-and-QP-57096.html,2 bedroom semi-detached house for sale,83161850,2,699999.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-83161850.html,2,51.545668,-0.23321,Freehold,54.0,71.0,63.0,0,3,-4.9999,-9.0,-21.333333333333332,-9.0,-41.33323333333333
"Artisan Mews, Warfield Road, London",http://www.rightmove.co.uk/estate-agents/agent/Sandfords/Regents-Park-45144.html,3 bedroom mews house for sale,63155589,2,699995.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-63155589.html,3,51.529016,-0.21788200000000002,Leasehold,49.0,72.0,58.0,5,0,-4.9995,-4.0,-22.666666666666664,-6.5,-33.16616666666667
"Shoot Up Hill, Kilburn, London, NW2",http://www.rightmove.co.uk/estate-agents/agent/Greene-and-Co/Willesden-Green-597.html,3 bedroom flat for sale,63233187,2,699995.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-63233187.html,3,51.551936,-0.20905100000000001,Leasehold,52.0,70.0,62.0,5,0,-4.9995,-7.0,-20.0,-8.5,-35.4995
"Shepherds Hill, Highgate",http://www.rightmove.co.uk/estate-agents/agent/Kinleigh-Folkard-and-Hayward---Sales/Highgate-55483.html,3 bedroom flat for sale,72698719,2,699995.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-72698719.html,3,51.579791,-0.13361199999999998,Leasehold,44.0,61.0,69.0,5,0,-4.9995,0.5,-8.0,-12.0,-19.4995
